battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_class
1547,1,3,1,2,1,14,0.7,198,3,19,1042,1832,2059,5,0,15,1,0,1,1
1760,0,1.4,1,5,0,63,0.8,127,8,19,1382,1383,2053,19,12,16,0,1,0,1
1654,1,1.5,1,0,1,43,0.3,109,2,0,546,629,3112,12,5,10,1,1,0,1
1457,0,1.9,1,1,1,16,0.3,102,3,10,1013,1287,1440,17,8,12,1,0,1,0
1073,1,0.5,1,0,0,51,0.5,145,7,0,690,804,2908,6,0,18,0,1,0,1
1936,0,2.1,1,10,1,46,0.6,104,3,20,667,1036,2552,14,7,13,1,0,0,1
823,1,2.7,1,13,0,60,0.5,148,8,19,822,1449,905,14,11,17,1,1,1,0
987,0,1.3,1,0,1,61,0.4,107,3,9,581,820,3963,9,4,20,1,0,1,1
1757,0,0.5,0,8,0,49,0.5,180,6,14,265,713,2056,7,5,4,0,0,0,0
1063,0,1.4,1,2,1,48,1,128,5,4,127,683,2910,15,13,9,1,1,1,1
1484,0,3,0,3,0,12,0.6,134,3,5,916,969,1457,14,4,20,1,1,0,0
799,1,2.3,0,1,1,63,0.8,144,8,6,361,975,431,15,6,6,1,1,1,0
1156,1,1.2,1,0,1,50,0.8,159,2,0,322,547,470,7,0,15,1,1,0,0
1720,0,2,0,15,1,55,0.5,168,2,18,753,1353,2148,14,2,5,1,1,1,1
702,0,2.6,1,2,1,9,0.7,141,3,3,504,1570,2955,10,4,19,1,0,0,1
616,0,1.9,1,13,1,44,0.8,81,3,17,651,1618,3366,18,8,13,1,1,0,1
1358,1,0.5,0,11,1,36,0.3,155,4,14,1565,1858,3068,9,4,4,1,1,0,1
1866,0,1.4,0,0,0,30,0.5,182,3,0,108,1781,3834,16,11,8,0,0,0,1
1242,0,1.1,1,0,0,10,0.6,165,2,1,459,1225,1050,11,1,4,1,0,1,0
1166,0,1.5,1,0,1,43,0.8,80,4,1,205,603,3993,7,1,7,1,1,0,1
1448,1,0.5,1,6,1,45,0.8,138,7,11,570,1724,3378,13,11,2,1,1,1,1
1407,1,2.4,0,1,1,22,0.7,104,4,4,1172,1217,2192,9,7,13,1,0,1,1
605,0,1,0,8,1,9,0.1,142,3,16,160,1026,392,15,6,4,1,0,0,0
1038,0,1.2,0,3,0,43,0.7,141,1,5,4,638,3709,11,0,12,1,1,1,1
797,1,2.9,1,4,0,38,0.5,90,4,6,763,1413,590,9,2,6,0,1,0,0
819,0,0.6,1,8,1,42,0.9,188,6,20,339,1242,1814,5,4,13,1,0,1,0
1114,0,2.8,0,4,1,9,0.4,197,3,15,1040,1071,907,10,7,17,1,1,0,0
1234,1,1.6,1,1,0,33,0.6,172,1,3,166,778,1449,11,7,6,0,0,1,0
1199,1,2.5,1,15,1,16,0.2,116,4,20,1168,1552,3448,17,13,10,1,0,1,1
1103,0,1,1,6,0,29,0.7,111,6,8,990,1486,1837,8,7,16,0,1,1,0
1589,1,0.6,1,0,1,58,0.9,85,7,7,319,1206,3464,19,10,6,1,1,1,1
999,0,2.9,1,11,1,64,0.2,199,4,19,1397,1616,2593,14,11,16,1,1,0,1
1510,1,0.9,1,2,0,45,0.9,180,5,3,708,1752,3484,9,6,11,0,1,1,1
1008,0,0.8,0,11,0,61,1,114,3,15,1077,1122,2009,10,3,11,1,0,0,0
1127,1,2.9,1,5,1,57,0.8,163,1,13,928,1049,2048,11,5,17,1,1,1,0
1412,1,2.4,0,5,0,25,0.8,96,8,17,516,1894,837,15,9,4,0,0,1,0
1496,1,2,1,4,0,42,0.5,182,5,5,96,741,854,16,0,7,0,1,1,0
1083,1,2.9,1,1,1,64,0.8,178,3,11,1025,1118,3210,13,3,4,1,0,0,1
668,0,0.5,1,0,0,3,0.1,155,5,13,666,1203,2746,9,5,8,1,1,1,1
1309,0,1.1,1,0,0,33,0.5,100,4,14,557,1402,2334,10,1,11,1,0,1,1
1724,0,2,1,2,1,57,0.5,177,3,5,1605,1924,2822,19,3,16,1,1,0,1
1977,1,2,1,7,1,54,1,171,7,18,1226,1242,1971,18,7,14,1,1,0,1
885,0,2.3,1,0,1,15,0.4,103,7,0,769,802,1410,16,10,5,1,1,1,0
879,1,2.5,0,11,1,14,0.7,83,6,15,403,1105,349,16,10,2,1,0,1,0
1322,0,1.7,1,6,0,7,0.8,140,3,9,177,1990,1418,19,17,12,0,1,0,0
1137,1,1,0,18,0,7,1,196,3,19,942,1179,3616,13,5,12,1,1,1,1
1355,0,2.3,0,10,1,23,0.2,132,5,16,651,891,880,19,4,8,1,1,0,0
1665,1,0.5,0,3,1,60,0.2,194,6,18,1572,1684,1601,18,17,14,1,0,0,1
657,0,2.5,0,0,0,37,0.7,141,2,1,476,961,1412,14,3,18,0,1,0,0
593,0,0.5,0,6,0,31,0.4,156,7,7,1233,1317,1692,6,2,7,1,0,0,0
1883,1,0.5,0,3,1,10,0.3,146,6,13,836,1739,2600,16,8,20,1,0,0,1
1732,1,1.1,0,4,1,12,0.8,119,8,9,824,881,1308,16,7,11,1,0,1,0
543,0,0.5,0,0,0,57,0.7,192,5,4,391,984,2413,17,14,15,1,0,0,0
1939,1,2.8,1,0,1,55,0.6,199,4,10,320,520,1047,14,10,18,1,1,0,0
553,0,2.4,1,1,1,8,0.5,121,7,3,325,902,1204,11,4,8,1,1,1,0
832,0,0.7,1,2,1,39,0.7,103,4,3,125,1504,1799,5,2,11,1,0,1,0
1661,0,1.9,1,5,0,23,1,172,5,10,846,1634,2676,12,6,11,0,1,1,1
1657,1,2.4,0,3,0,42,0.1,198,5,16,1770,1796,2597,18,1,14,1,0,0,1
1135,1,2,1,0,0,46,0.3,83,1,4,293,1846,3029,19,17,9,1,1,1,1
1775,1,1.5,0,3,0,41,0.1,163,1,7,1633,1869,2343,19,13,14,1,1,1,1
783,0,1.8,1,0,1,43,1,106,3,4,1198,1471,2016,16,4,18,1,1,0,0
617,1,2.3,0,0,0,32,0.5,199,7,20,768,874,2213,18,13,7,0,0,0,0
867,0,1.4,1,0,1,4,0.7,135,6,1,70,1974,790,13,6,3,1,1,0,0
1310,1,1.1,1,13,0,7,1,194,5,14,117,513,3182,8,4,5,1,1,0,1
1804,0,0.5,0,9,1,22,0.6,153,7,19,1158,1244,3472,9,1,20,1,0,1,1
1900,1,2.3,0,1,1,18,0.2,89,7,9,1055,1661,2871,12,1,13,1,1,1,1
909,1,1.4,0,0,0,53,0.3,82,8,0,635,973,3187,12,9,4,1,0,0,1
1084,1,2.6,0,3,1,40,0.9,107,3,11,322,771,1945,15,4,10,1,1,0,0
1308,0,1.3,1,8,0,46,0.9,199,1,12,275,989,488,5,3,9,0,1,0,0
1778,0,0.5,0,0,0,15,0.5,102,3,0,1445,1954,1214,5,0,14,1,0,0,0
1701,1,1.6,1,3,0,10,0.3,194,8,7,550,1338,2598,12,9,6,0,1,0,1
772,1,2.4,1,1,1,10,0.5,80,4,2,1242,1712,3242,18,11,4,1,1,0,1
825,1,0.5,1,7,0,52,0.9,130,3,10,597,863,3534,10,4,6,0,1,0,1
1379,0,1.1,0,5,1,36,0.8,200,2,7,538,1376,3426,5,4,17,1,1,1,1
1166,0,2,0,3,1,25,0.8,198,5,4,59,1203,2488,13,5,15,1,0,0,1
1659,0,2.8,0,5,0,16,0.6,89,1,20,819,902,3255,19,14,9,0,0,1,1
826,1,2.4,1,0,1,58,0.3,88,4,1,179,786,2863,9,3,18,1,0,1,1
1564,0,2.3,0,4,1,25,0.5,189,6,17,1259,1965,1496,6,4,7,1,1,1,0
1957,0,0.9,1,11,0,31,0.6,181,3,16,396,1732,3801,12,0,7,1,0,1,1
1571,0,1.4,0,0,1,19,0.1,100,6,1,713,1398,666,12,10,13,1,1,0,0
1414,0,2,1,2,0,54,0.8,99,7,3,262,829,3799,17,7,7,1,0,1,1
1790,0,2.5,1,9,0,2,0.1,184,1,14,622,792,1366,7,0,20,1,1,1,0
645,0,0.5,0,1,0,41,1,197,7,10,327,580,2962,12,9,4,1,1,1,1
668,0,2.9,1,7,0,30,0.2,195,8,12,522,1056,2399,10,5,7,1,1,1,0
1652,1,1.1,1,1,0,36,0.7,89,4,5,313,1264,2338,12,8,20,0,0,0,1
1213,1,0.5,0,0,0,16,0.5,108,5,0,226,1248,2700,12,3,9,0,0,1,1
1272,1,2.5,1,0,0,22,0.9,133,6,8,605,669,2235,19,4,4,1,0,0,0
866,0,0.5,1,5,1,46,0.5,179,8,7,692,1686,3825,12,11,2,1,1,1,1
536,0,2.4,1,12,1,3,0.3,182,7,14,1386,1539,284,12,9,4,1,1,0,0
523,0,2.6,1,1,0,14,0.1,155,8,2,304,1042,1427,9,1,9,0,1,0,0
1753,0,0.5,1,0,1,31,0.1,134,1,18,1590,1926,1324,17,0,17,1,0,1,1
1218,0,1.8,1,1,1,14,0.5,147,3,4,229,616,398,17,0,5,1,0,0,0
1537,1,2.5,0,4,1,43,0.3,137,1,5,839,1131,3685,18,17,17,1,1,1,1
786,0,2.2,1,0,0,33,0.5,141,7,6,507,1697,2390,12,11,5,1,0,1,1
1678,0,2.1,0,3,1,64,0.9,134,3,11,436,536,278,19,0,10,1,1,0,0
1814,0,1.4,1,1,1,9,0.4,141,2,2,756,786,3556,18,12,16,1,0,0,1
1101,0,1.8,0,0,0,31,0.2,148,2,7,387,1269,2196,12,6,19,0,1,1,0
1461,0,2.4,1,3,1,40,0.5,141,7,4,1265,1298,3799,16,1,4,1,0,0,1
1216,0,3,0,4,0,47,0.4,199,3,7,1852,1967,2268,13,5,4,0,1,1,1
506,0,1.6,0,6,1,41,0.8,159,1,7,875,1025,2965,13,10,15,1,0,0,1
843,1,0.5,0,1,1,56,0.1,147,5,17,140,800,2341,10,1,20,1,1,1,0
742,0,2.2,1,4,0,56,0.2,190,7,14,577,1359,3557,16,11,12,0,1,1,1
1692,1,2.1,0,3,1,61,0.9,176,6,12,975,1996,1354,16,7,19,1,0,0,0
1485,0,1,0,2,1,32,0.7,84,2,9,510,1013,2147,19,1,11,1,1,0,1
1547,0,2.9,1,6,0,45,0.7,166,2,8,583,590,505,12,2,3,0,1,1,0
1692,0,2.3,1,4,1,46,0.9,139,1,6,674,1925,1394,16,10,6,1,1,0,0
637,0,2.3,0,3,1,60,0.8,97,4,4,1125,1989,374,18,4,8,1,0,1,0
1224,0,0.5,0,16,1,6,0.4,109,6,18,747,826,506,10,0,11,1,1,1,0
1356,0,2.8,0,0,0,29,0.5,198,6,0,1612,1983,3702,17,0,19,0,0,0,1
1840,0,0.5,1,12,0,34,0.7,142,1,16,311,1545,1078,8,0,10,0,0,0,0
1481,1,0.7,1,4,1,37,0.6,96,5,13,116,1533,2945,10,5,16,1,1,1,1
961,1,1.5,1,10,0,51,0.3,152,6,16,554,621,2981,15,6,7,1,1,1,1
1296,0,0.9,1,0,1,14,0.5,124,5,3,811,1272,490,7,1,4,1,1,1,0
1193,0,0.9,0,11,0,26,0.5,166,1,20,730,1729,536,17,14,4,1,0,1,0
1441,0,2.1,1,11,1,3,0.1,118,8,17,577,1071,2317,16,4,7,1,0,1,1
517,0,1.4,1,3,1,33,0.8,183,4,8,660,974,3704,17,16,11,1,0,1,1
748,1,1.7,0,0,1,27,0.9,150,8,4,450,1554,2126,18,9,7,1,0,0,0
1126,1,2.4,0,2,1,10,0.4,160,6,3,1223,1611,2050,7,6,12,1,1,1,1
1572,0,0.6,0,0,1,58,0.2,157,7,8,1109,1937,2462,12,8,10,1,0,0,1
1569,0,2.8,1,17,0,44,0.3,110,4,20,45,1942,1260,9,2,17,1,0,0,0
1270,1,0.6,1,2,1,32,0.5,101,7,6,299,845,3770,5,3,13,1,1,0,1
1854,0,3,0,2,1,8,0.1,101,5,5,506,627,1886,17,4,20,1,1,0,0
625,1,1.2,1,5,1,10,0.2,183,4,8,635,842,3323,9,1,7,1,1,1,1
1577,0,0.5,1,0,1,42,0.3,197,5,4,1045,1737,2060,19,6,12,1,0,0,1
534,0,0.5,1,0,1,16,1,189,5,1,393,1199,3926,16,12,20,1,0,0,1
946,0,1.7,1,8,1,25,0.8,143,6,15,650,1740,2177,7,5,13,1,1,1,1
685,0,0.5,0,2,0,29,0.8,93,7,10,433,648,728,14,8,4,0,0,1,0
1949,0,1.3,1,0,0,23,0.1,101,5,1,839,1136,2478,14,8,20,1,0,0,1
947,0,0.8,1,0,1,22,0.1,197,2,13,1176,1220,2842,16,12,2,1,0,0,1
801,1,2.2,1,2,0,63,0.4,165,7,4,650,879,1617,17,4,19,0,0,1,0
703,1,2.7,0,12,1,30,0.3,113,1,20,218,1065,1472,14,7,7,1,0,0,0
1165,1,2.4,0,11,0,41,0.2,178,6,12,564,831,764,19,12,15,1,0,0,0
1082,0,0.8,0,0,0,38,0.1,198,8,5,986,1191,2337,6,1,17,0,1,1,1
959,1,2.6,1,15,0,20,1,84,4,19,561,1631,3965,16,1,6,1,0,0,1
1502,1,1.2,0,0,0,54,0.2,138,5,12,65,588,3693,17,14,16,1,1,0,1
1380,1,2.1,1,1,1,4,0.8,92,3,13,420,500,797,13,2,15,1,1,0,0
1266,0,0.5,0,0,1,5,0.1,95,6,9,1365,1698,1687,11,0,18,1,0,0,1
1934,1,2.6,1,0,1,46,0.1,103,1,17,619,1299,2940,13,9,2,1,1,1,1
1905,1,0.5,0,3,1,6,0.5,151,1,5,849,898,1545,9,5,10,1,1,0,0
1831,0,1.4,1,2,0,43,0.9,150,5,5,611,1381,3834,17,7,13,1,1,1,1
596,0,1.4,0,8,0,46,0.6,165,1,18,953,984,2505,15,4,15,1,1,0,0
1562,1,1.3,1,1,1,7,0.2,190,5,15,642,1533,2243,12,10,6,1,0,0,1
1490,1,0.5,1,4,1,64,0.3,150,8,8,1417,1464,3600,17,9,7,1,1,1,1
1523,1,2.4,0,5,1,57,0.2,117,2,6,247,539,3971,18,12,10,1,1,1,1
640,0,0.6,0,0,0,20,0.1,163,4,15,710,1179,2844,7,5,18,1,1,0,1
1526,0,2.1,0,1,1,23,0.2,117,7,8,718,751,2227,18,10,3,1,1,0,1
1989,0,2.5,1,0,1,41,0.8,94,3,13,1100,1497,1665,17,9,12,1,1,1,1
1308,0,1.9,0,0,1,61,0.7,106,3,7,59,1215,3355,15,2,4,1,0,1,1
609,0,0.5,0,3,0,26,0.3,93,4,4,938,1948,1866,11,10,14,1,1,1,0
1905,0,0.6,1,9,1,36,0.4,119,3,20,825,1542,1287,13,4,16,1,0,0,0
1703,1,0.5,0,0,1,22,0.6,192,1,0,286,1235,1046,5,4,13,1,0,1,0
1445,1,2.4,1,7,1,20,0.4,173,7,15,1273,1345,1441,7,4,13,1,1,1,0
1087,0,1.3,0,0,1,16,0.3,166,3,9,295,589,690,14,6,6,1,0,1,0
671,0,0.9,1,10,0,30,0.7,105,7,17,852,1182,2504,6,4,15,1,0,0,1
1472,1,2.3,0,6,0,61,0.1,168,6,19,710,1052,2677,19,15,8,1,0,0,1
765,0,0.5,1,0,1,47,0.3,115,8,1,1277,1429,2243,11,7,4,1,0,1,1
1642,0,0.5,1,16,1,8,0.3,171,6,17,129,873,2984,13,4,17,1,0,1,1
1265,0,1.5,0,7,0,49,0.7,182,5,16,690,836,1362,5,0,12,0,0,1,0
664,1,1.1,1,1,1,51,0.1,110,7,4,701,1478,3629,19,15,6,1,1,1,1
1277,1,0.5,1,0,1,35,0.4,142,6,6,309,1460,3559,18,17,6,1,1,0,1
1395,0,1.8,1,0,0,23,0.1,111,3,1,213,705,2571,11,0,13,1,0,1,1
1539,1,2.6,0,0,0,41,0.1,159,8,0,1112,1666,2107,15,9,10,1,0,1,1
1049,1,2.2,0,9,0,63,0.5,135,5,17,199,1077,1022,11,3,13,0,0,0,0
1827,0,1.7,0,4,1,39,0.5,128,5,16,55,1020,2844,14,9,10,1,1,0,1
903,0,1,1,0,1,50,0.4,91,1,0,1230,1235,711,9,5,10,1,1,0,0
1987,1,0.5,0,3,1,53,1,181,3,7,1052,1516,3117,18,5,8,1,1,1,1
1154,0,1.2,1,0,1,49,0.2,181,8,2,541,1499,978,5,3,7,1,0,1,0
1336,0,0.9,0,5,1,17,0.2,194,5,9,55,583,1869,13,1,16,1,1,1,0
1886,0,0.5,0,0,1,24,0.4,112,3,1,809,1958,1179,16,7,20,1,0,1,0
1551,0,1.1,0,4,0,51,0.1,88,5,6,1738,1995,3844,11,8,4,0,1,0,1
850,1,1.6,1,6,1,29,0.5,133,5,19,404,642,593,19,17,10,1,0,1,0
660,0,0.5,0,5,1,40,0.5,111,2,10,262,1178,588,6,5,18,1,1,1,0
1225,1,2.1,1,8,0,13,0.5,116,4,12,759,1404,3836,12,11,11,0,0,0,1
1452,1,0.5,1,1,1,25,0.9,123,6,11,42,1040,2669,12,10,13,1,0,0,1
1686,1,2.8,1,3,0,38,0.1,166,4,4,397,1453,2958,14,11,2,0,0,0,1
1634,1,1.4,0,1,1,17,0.2,200,2,5,964,1677,3031,11,6,6,1,1,1,1
1708,1,2.4,1,18,1,49,0.1,109,1,19,233,517,3388,6,4,16,1,1,1,1
1151,1,2.9,1,0,0,31,0.6,128,8,1,1022,1560,2377,18,8,13,0,1,0,1
1578,0,1.9,1,2,1,37,0.1,138,4,19,411,1226,2458,19,16,3,1,0,1,1
1689,0,1.8,0,17,0,24,0.3,127,3,18,954,1200,2766,7,2,7,0,1,1,1
1488,0,0.5,0,1,0,39,0.8,112,5,6,1528,1647,3054,14,10,19,0,0,0,1
1313,1,1.8,1,4,0,9,0.4,105,1,6,416,1308,3791,11,10,6,0,1,1,1
1715,0,1,1,4,1,31,0.5,83,8,17,638,1615,625,17,6,13,1,0,0,0
1442,0,1,1,0,0,27,0.1,192,3,19,231,687,2227,6,5,20,1,1,0,0
528,0,1.7,0,12,1,6,0.8,142,2,15,574,637,3256,9,8,6,1,1,0,1
1523,1,1.8,0,6,1,11,0.1,129,1,8,148,1606,707,19,8,19,1,1,0,0
1133,0,1.4,0,3,0,42,0.1,199,5,12,730,1543,1457,18,12,20,1,0,1,0
1718,1,2.5,1,14,1,6,0.1,183,5,16,564,980,3755,7,1,8,1,1,1,1
1330,0,0.5,0,0,0,38,1,183,7,1,1290,1441,1733,9,0,11,1,0,1,0
1799,1,0.5,0,0,0,49,0.4,107,4,2,632,1383,720,12,2,11,1,1,1,0
633,1,2.2,0,0,1,49,0.1,139,8,1,529,1009,3560,11,1,16,1,1,1,1
724,0,2.7,1,0,0,44,0.5,187,7,0,1273,1754,2311,7,6,7,1,0,0,1
822,1,0.5,0,0,1,51,0.3,157,6,20,667,860,3846,10,1,3,1,0,0,1
1918,0,1.9,0,2,0,10,0.6,110,5,10,1170,1543,1717,7,1,16,1,1,1,1
1891,0,2.8,0,7,1,37,0.4,129,7,14,169,1108,3704,8,6,11,1,0,0,1
1373,1,1,1,2,0,50,0.2,127,7,12,105,673,3800,8,3,14,1,0,0,1
862,1,0.8,1,3,0,23,0.4,165,2,15,793,1758,278,16,3,11,0,0,1,0
1273,0,1,0,3,1,48,0.4,99,4,15,490,886,1767,18,15,11,1,1,0,0
957,1,2.5,0,4,0,7,0.8,107,5,10,1201,1485,1846,12,5,7,1,0,1,0
1617,1,1.3,1,3,1,30,0.7,105,2,4,246,1038,829,9,0,10,1,0,0,0
893,0,2.5,1,0,0,55,0.6,183,2,1,417,946,2986,7,1,6,0,1,1,1
1210,0,0.5,0,0,0,63,0.1,93,5,0,1177,1462,2394,17,9,7,0,0,0,1
708,1,2.7,1,0,1,63,1,195,8,7,78,654,2169,6,5,7,1,1,1,0
835,0,1.1,1,2,0,7,0.2,101,4,7,323,1604,1181,13,5,15,1,1,1,0
1450,1,2.7,1,9,0,19,0.6,131,1,17,707,1882,575,15,9,12,0,0,0,0
973,1,1.5,0,5,1,57,0.2,190,7,16,457,1816,2977,6,4,2,1,0,0,1
601,1,1.4,0,4,1,4,0.1,154,4,13,356,765,532,12,8,10,1,1,1,0
507,1,0.5,1,1,0,32,0.5,141,7,11,936,1398,1702,17,0,5,1,1,1,0
564,0,1.8,1,0,1,51,0.5,168,3,1,912,1980,1074,14,8,15,1,1,0,0
1559,1,1.6,1,6,1,6,0.5,162,6,17,179,1559,3352,9,1,3,1,1,1,1
754,0,0.5,1,7,1,59,0.7,178,7,10,1914,1928,1027,6,3,5,1,0,0,0
728,0,2.7,1,0,0,25,0.2,88,4,1,526,1529,2039,5,1,12,1,1,1,0
1431,1,0.5,0,0,1,56,0.6,191,1,1,156,952,461,7,3,8,1,0,0,0
767,0,1.5,0,4,0,28,0.7,175,4,10,344,1517,527,10,0,15,0,1,0,0
1722,0,2.6,0,8,0,18,0.8,177,2,16,865,1741,3271,14,0,15,1,0,1,1
1992,1,1.6,0,5,1,57,1,100,2,15,1552,1596,606,9,3,4,1,1,1,0
1876,0,0.5,0,10,1,40,0.3,86,6,14,546,1564,2513,10,8,16,1,1,0,1
1054,0,1.1,1,10,1,38,0.4,136,6,12,1097,1222,1675,18,4,14,1,1,1,0
1283,1,1.6,1,4,0,47,0.9,93,5,5,372,692,2698,9,6,17,1,1,0,1
1281,1,2.3,1,0,0,28,0.3,148,1,6,1285,1617,1129,12,1,6,0,1,0,0
1066,0,0.6,0,2,1,7,0.9,114,7,18,1242,1571,468,19,13,6,1,1,0,0
730,0,2.1,1,0,1,4,0.1,89,8,2,302,1247,1210,19,15,4,1,1,1,0
1053,1,0.8,1,7,1,45,0.3,103,1,12,594,1767,3086,17,6,5,1,1,1,1
1611,1,0.5,1,11,0,3,0.6,98,3,14,303,714,1595,8,4,9,1,0,1,0
793,0,1,1,5,1,30,0.9,133,2,15,1858,1935,2332,17,13,14,1,1,1,1
1220,0,2.9,0,3,0,62,0.5,125,4,8,403,1933,2589,19,11,15,1,1,1,1
1662,0,0.5,0,0,1,61,0.8,126,4,13,32,1509,3760,9,5,13,1,1,1,1
1281,1,2.8,1,3,1,8,0.3,144,4,19,590,954,1851,8,2,9,1,1,0,0
538,0,0.8,0,12,1,2,0.8,177,7,13,235,662,417,8,4,9,1,0,1,0
823,1,0.5,0,0,0,39,0.4,187,8,4,630,888,294,13,9,11,0,0,1,0
1733,1,2.8,0,3,1,36,1,119,6,20,357,527,3576,17,16,9,1,0,0,1
1429,0,1.5,1,0,1,40,0.9,100,3,14,246,820,3945,11,7,18,1,0,1,1
1839,1,1.2,0,9,1,54,0.5,200,7,11,475,1493,927,19,10,18,1,0,1,0
659,0,2.7,0,6,1,6,0.5,110,3,7,1054,1929,2044,15,5,2,1,0,1,0
1953,1,2.1,1,7,0,56,0.1,158,8,9,555,764,2334,11,5,4,1,0,0,1
1172,0,1.9,0,0,1,27,0.7,164,1,3,607,1092,1477,12,0,6,1,0,0,0
612,1,1.9,1,6,0,16,0.3,102,7,7,1360,1891,3161,8,4,3,0,0,0,1
